marathon men,rio 2016,Thanackal Gopi,IND,25.,2:15:25
marathon men,rio 2016,Kheta Ram,IND,26.,2:15:26
marathon men,rio 2016,Chol Pak,PRK,27.,2:15:27
marathon men,rio 2016,Evans Kiplagat Barkowet,AZE,28.,2:15:31
marathon men,rio 2016,Guojian Dong,CHN,29.,2:15:32
marathon men,rio 2016,Ihor Olefirenko,UKR,30.,2:15:36
marathon men,rio 2016,Liam Adams,AUS,31.,2:16:12
marathon men,rio 2016,Paul Pollock,IRL,32.,2:16:24
marathon men,rio 2016,Mebrahtom Keflezighi,USA,33.,2:16:46
marathon men,rio 2016,Anuradha Indrajith Cooray,SRI,34.,2:17:06
marathon men,rio 2016,Abdi Hakin Ulad,DEN,35.,2:17:06
marathon men,rio 2016,Suehiro Ishikawa,JPN,36.,2:17:08
marathon men,rio 2016,Marius Ionescu,ROU,37.,2:17:27
marathon men,rio 2016,Ruggero Pertile,ITA,38.,2:17:30
marathon men,rio 2016,Artur Kozlowski,POL,39.,2:17:34
marathon men,rio 2016,Nicolas Cuestas,URU,40.,2:17:44
marathon men,rio 2016,Pardon Ndhlovu,ZIM,41.,2:17:48
marathon men,rio 2016,Victor Aravena,CHI,42.,2:17:49
marathon men,rio 2016,Saidi Juma Makula,TAN,43.,2:17:49
marathon men,rio 2016,Florent Caelen,BEL,44.,2:17:59
marathon men,rio 2016,Raul Machacuay,PER,45.,2:18:00
marathon men,rio 2016,Richer Perez,CUB,46.,2:18:05
marathon men,rio 2016,Michael Shelley,AUS,47.,2:18:06
marathon men,rio 2016,Ihor Russ,UKR,48.,2:18:19
marathon men,rio 2016,Carles Castillejo,ESP,49.,2:18:34
marathon men,rio 2016,Ernesto Andres Zamora,URU,50.,2:18:36
marathon men,rio 2016,Ercan Muslu,TUR,51.,2:18:40
